# A股全市场股票池
# 格式: 股票代码.交易所  # 名称
# 以#开头的行为注释
# 数据来源: Tushare
# 生成时间: 2025-11-07 15:02:31

# IT设备
002897.SZ  # 意华股份
002913.SZ  # 奥士康
002916.SZ  # 深南电路
002925.SZ  # 盈趣科技
002937.SZ  # 兴瑞科技
002938.SZ  # 鹏鼎控股
002947.SZ  # 恒铭达
002952.SZ  # 亚世光电
002962.SZ  # 五方光电
002981.SZ  # 朝阳科技
002983.SZ  # 芯瑞达
002992.SZ  # 宝明科技
002993.SZ  # 奥海科技
003015.SZ  # 日久光电
003019.SZ  # 宸展光电
003021.SZ  # 兆威机电
003028.SZ  # 振邦智能
003031.SZ  # 中瓷电子
300032.SZ  # 金龙机电
300088.SZ  # 长信科技
300115.SZ  # 长盈精密
300120.SZ  # 经纬辉开
300128.SZ  # 锦富技术
300131.SZ  # 英唐智控
300136.SZ  # 信维通信
300162.SZ  # 雷曼光电
300184.SZ  # 力源信息
300219.SZ  # 鸿利智汇
300232.SZ  # 洲明科技
300256.SZ  # 星星科技
300269.SZ  # 联建光电
300279.SZ  # 和晶科技
300296.SZ  # 利亚德
300319.SZ  # 麦捷科技
300322.SZ  # 硕贝德
300331.SZ  # 苏大维格
300389.SZ  # 艾比森
300408.SZ  # 三环集团
300433.SZ  # 蓝思科技
300460.SZ  # 惠伦晶体
300474.SZ  # 景嘉微
300475.SZ  # 香农芯创
300476.SZ  # 胜宏科技
300493.SZ  # 润欣科技
300543.SZ  # 朗科智能
300566.SZ  # 激智科技
300582.SZ  # 英飞特
300602.SZ  # 飞荣达
300629.SZ  # 新劲刚
300650.SZ  # 太龙股份
300657.SZ  # 弘信电子
300679.SZ  # 电连技术
300684.SZ  # 中石科技
300686.SZ  # 智动力
300691.SZ  # 联合光电
300701.SZ  # 森霸传感
300706.SZ  # 阿石创
300709.SZ  # 精研科技
300726.SZ  # 宏达电子
300735.SZ  # 光弘科技
300739.SZ  # 明阳电路
300752.SZ  # 隆利科技
300787.SZ  # 海能实业
300790.SZ  # 宇瞳光学
300814.SZ  # 中富电路
300822.SZ  # 贝仕达克
300843.SZ  # 胜蓝股份
300852.SZ  # 四会富仕
300866.SZ  # 安克创新
300868.SZ  # 杰美特
300903.SZ  # 科翔股份
300909.SZ  # 汇创达
300916.SZ  # 朗特智能
300936.SZ  # 中英科技
300939.SZ  # 秋田微
300940.SZ  # 南极光
300951.SZ  # 博硕科技
300956.SZ  # 英力股份
300964.SZ  # 本川智能
300968.SZ  # 格林精密
300975.SZ  # 商络电子
300976.SZ  # 达瑞电子
300991.SZ  # 创益通
301041.SZ  # 金百泽
301045.SZ  # 天禄科技
301051.SZ  # 信濠光电
